collation_name;column_name;default_expr;formatted_type;generated_kind;identity_kind;not_null;object_name;object_type;ordinal_position;schema_name;type_name;type_schema
;created_at;now();timestamp with time zone;;;false;academy_progress;BASE TABLE;8;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;academy_progress;BASE TABLE;9;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;addon_upgrade_recommendations;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;addon_upgrade_recommendations;BASE TABLE;2;public;uuid;pg_catalog
;current_plan_id;;uuid;;;false;addon_upgrade_recommendations;BASE TABLE;3;public;uuid;pg_catalog
;recommended_plan_id;;uuid;;;false;addon_upgrade_recommendations;BASE TABLE;4;public;uuid;pg_catalog
;selected_addon_ids;'{}'::uuid[];uuid[];;;true;addon_upgrade_recommendations;BASE TABLE;5;public;_uuid;pg_catalog
;active_addon_ids;'{}'::uuid[];uuid[];;;true;addon_upgrade_recommendations;BASE TABLE;6;public;_uuid;pg_catalog
;billing_cycle;'monthly'::addon_billing_cycle;addon_billing_cycle;;;true;addon_upgrade_recommendations;BASE TABLE;7;public;addon_billing_cycle;public
;current_option_total;0;numeric(10,2);;;true;addon_upgrade_recommendations;BASE TABLE;8;public;numeric;pg_catalog
;upgrade_option_total;0;numeric(10,2);;;true;addon_upgrade_recommendations;BASE TABLE;9;public;numeric;pg_catalog
;monthly_savings;0;numeric(10,2);;;true;addon_upgrade_recommendations;BASE TABLE;10;public;numeric;pg_catalog
;annual_savings;0;numeric(10,2);;;true;addon_upgrade_recommendations;BASE TABLE;11;public;numeric;pg_catalog
pg_catalog.default;recommendation_reason;;text;;;false;addon_upgrade_recommendations;BASE TABLE;12;public;text;pg_catalog
pg_catalog.default;customer_action;;text;;;false;addon_upgrade_recommendations;BASE TABLE;13;public;text;pg_catalog
;action_taken_at;;timestamp with time zone;;;false;addon_upgrade_recommendations;BASE TABLE;14;public;timestamptz;pg_catalog
;shown_at;now();timestamp with time zone;;;true;addon_upgrade_recommendations;BASE TABLE;15;public;timestamptz;pg_catalog
;created_at;now();timestamp with time zone;;;true;addon_upgrade_recommendations;BASE TABLE;16;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;addon_upgrade_recommendations;BASE TABLE;17;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;admin_event_log;BASE TABLE;1;public;uuid;pg_catalog
pg_catalog.default;event_key;;text;;;true;admin_event_log;BASE TABLE;2;public;text;pg_catalog
pg_catalog.default;severity;'info'::text;text;;;true;admin_event_log;BASE TABLE;3;public;text;pg_catalog
;payload;'{}'::jsonb;jsonb;;;true;admin_event_log;BASE TABLE;4;public;jsonb;pg_catalog
;tenant_id;;uuid;;;false;admin_event_log;BASE TABLE;5;public;uuid;pg_catalog
;recipients_count;0;integer;;;true;admin_event_log;BASE TABLE;6;public;int4;pg_catalog
;channels_delivered;'{}'::jsonb;jsonb;;;true;admin_event_log;BASE TABLE;7;public;jsonb;pg_catalog
pg_catalog.default;error;;text;;;false;admin_event_log;BASE TABLE;8;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;true;admin_event_log;BASE TABLE;9;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;admin_event_subscriptions;BASE TABLE;1;public;uuid;pg_catalog
;user_id;;uuid;;;true;admin_event_subscriptions;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;event_key;;text;;;true;admin_event_subscriptions;BASE TABLE;3;public;text;pg_catalog
;channel_panel;true;boolean;;;true;admin_event_subscriptions;BASE TABLE;4;public;bool;pg_catalog
;channel_push;true;boolean;;;true;admin_event_subscriptions;BASE TABLE;5;public;bool;pg_catalog
;channel_whatsapp;false;boolean;;;true;admin_event_subscriptions;BASE TABLE;6;public;bool;pg_catalog
;channel_email;false;boolean;;;true;admin_event_subscriptions;BASE TABLE;7;public;bool;pg_catalog
pg_catalog.default;whatsapp_phone;;text;;;false;admin_event_subscriptions;BASE TABLE;8;public;text;pg_catalog
pg_catalog.default;email_address;;text;;;false;admin_event_subscriptions;BASE TABLE;9;public;text;pg_catalog
;enabled;true;boolean;;;true;admin_event_subscriptions;BASE TABLE;10;public;bool;pg_catalog
;created_at;now();timestamp with time zone;;;true;admin_event_subscriptions;BASE TABLE;11;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;admin_event_subscriptions;BASE TABLE;12;public;timestamptz;pg_catalog
pg_catalog.default;event_key;;text;;;true;admin_event_templates;BASE TABLE;1;public;text;pg_catalog
pg_catalog.default;title_tpl;;text;;;true;admin_event_templates;BASE TABLE;2;public;text;pg_catalog
pg_catalog.default;message_tpl;''::text;text;;;true;admin_event_templates;BASE TABLE;3;public;text;pg_catalog
;updated_at;now();timestamp with time zone;;;true;admin_event_templates;BASE TABLE;4;public;timestamptz;pg_catalog
;updated_by;;uuid;;;false;admin_event_templates;BASE TABLE;5;public;uuid;pg_catalog
;id;gen_random_uuid();uuid;;;true;admin_notifications;BASE TABLE;1;public;uuid;pg_catalog
pg_catalog.default;type;;text;;;true;admin_notifications;BASE TABLE;2;public;text;pg_catalog
pg_catalog.default;title;;text;;;true;admin_notifications;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;description;;text;;;false;admin_notifications;BASE TABLE;4;public;text;pg_catalog
;reference_id;;uuid;;;false;admin_notifications;BASE TABLE;5;public;uuid;pg_catalog
;is_read;false;boolean;;;false;admin_notifications;BASE TABLE;6;public;bool;pg_catalog
;created_at;now();timestamp with time zone;;;true;admin_notifications;BASE TABLE;7;public;timestamptz;pg_catalog
pg_catalog.default;message;;text;;;false;admin_notifications;BASE TABLE;8;public;text;pg_catalog
;tenant_id;;uuid;;;false;admin_notifications;BASE TABLE;9;public;uuid;pg_catalog
;user_id;;uuid;;;false;admin_notifications;BASE TABLE;10;public;uuid;pg_catalog
pg_catalog.default;related_entity_type;;text;;;false;admin_notifications;BASE TABLE;11;public;text;pg_catalog
;related_entity_id;;uuid;;;false;admin_notifications;BASE TABLE;12;public;uuid;pg_catalog
pg_catalog.default;action_url;;text;;;false;admin_notifications;BASE TABLE;13;public;text;pg_catalog
pg_catalog.default;priority;'normal'::text;text;;;true;admin_notifications;BASE TABLE;14;public;text;pg_catalog
;read_at;;timestamp with time zone;;;false;admin_notifications;BASE TABLE;15;public;timestamptz;pg_catalog
;archived;false;boolean;;;true;admin_notifications;BASE TABLE;16;public;bool;pg_catalog
pg_catalog.default;event_key;;text;;;false;admin_notifications;BASE TABLE;17;public;text;pg_catalog
pg_catalog.default;severity;'info'::text;text;;;true;admin_notifications;BASE TABLE;18;public;text;pg_catalog
;payload;'{}'::jsonb;jsonb;;;true;admin_notifications;BASE TABLE;19;public;jsonb;pg_catalog
;id;gen_random_uuid();uuid;;;true;ai_settings;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;ai_settings;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;provider;'openai'::text;text;;;true;ai_settings;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;api_key;;text;;;false;ai_settings;BASE TABLE;4;public;text;pg_catalog
pg_catalog.default;model;'gpt-3.5-turbo'::text;text;;;false;ai_settings;BASE TABLE;5;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;true;ai_settings;BASE TABLE;6;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;ai_settings;BASE TABLE;7;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;appointment_checkins;BASE TABLE;1;public;uuid;pg_catalog
;appointment_id;;uuid;;;true;appointment_checkins;BASE TABLE;2;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;appointment_checkins;BASE TABLE;3;public;uuid;pg_catalog
;customer_id;;uuid;;;false;appointment_checkins;BASE TABLE;4;public;uuid;pg_catalog
pg_catalog.default;source;'qr'::text;text;;;true;appointment_checkins;BASE TABLE;5;public;text;pg_catalog
;checked_in_at;now();timestamp with time zone;;;true;appointment_checkins;BASE TABLE;6;public;timestamptz;pg_catalog
;created_at;now();timestamp with time zone;;;true;appointment_checkins;BASE TABLE;7;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;appointment_groups;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;appointment_groups;BASE TABLE;2;public;uuid;pg_catalog
;customer_id;;uuid;;;false;appointment_groups;BASE TABLE;3;public;uuid;pg_catalog
pg_catalog.default;group_token;;text;;;true;appointment_groups;BASE TABLE;4;public;text;pg_catalog
;total_amount;0;numeric(10,2);;;false;appointment_groups;BASE TABLE;5;public;numeric;pg_catalog
pg_catalog.default;payment_status;'pending'::text;text;;;false;appointment_groups;BASE TABLE;6;public;text;pg_catalog
pg_catalog.default;status;'active'::text;text;;;false;appointment_groups;BASE TABLE;7;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;false;appointment_groups;BASE TABLE;8;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;appointment_groups;BASE TABLE;9;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;appointment_reviews;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;appointment_reviews;BASE TABLE;2;public;uuid;pg_catalog
;appointment_id;;uuid;;;true;appointment_reviews;BASE TABLE;3;public;uuid;pg_catalog
;customer_id;;uuid;;;false;appointment_reviews;BASE TABLE;4;public;uuid;pg_catalog
;barber_id;;uuid;;;false;appointment_reviews;BASE TABLE;5;public;uuid;pg_catalog
;barbershop_rating;;integer;;;false;appointment_reviews;BASE TABLE;6;public;int4;pg_catalog
;barber_rating;;integer;;;false;appointment_reviews;BASE TABLE;7;public;int4;pg_catalog
pg_catalog.default;testimonial_text;;text;;;false;appointment_reviews;BASE TABLE;8;public;text;pg_catalog
pg_catalog.default;testimonial_status;'pending'::text;text;;;true;appointment_reviews;BASE TABLE;9;public;text;pg_catalog
;show_on_frontend;false;boolean;;;true;appointment_reviews;BASE TABLE;10;public;bool;pg_catalog
;created_at;now();timestamp with time zone;;;true;appointment_reviews;BASE TABLE;11;public;timestamptz;pg_catalog
;approved_at;;timestamp with time zone;;;false;appointment_reviews;BASE TABLE;12;public;timestamptz;pg_catalog
;approved_by;;uuid;;;false;appointment_reviews;BASE TABLE;13;public;uuid;pg_catalog
;review_token;;uuid;;;false;appointment_reviews;BASE TABLE;14;public;uuid;pg_catalog
;token_expires_at;;timestamp with time zone;;;false;appointment_reviews;BASE TABLE;15;public;timestamptz;pg_catalog
;token_used_at;;timestamp with time zone;;;false;appointment_reviews;BASE TABLE;16;public;timestamptz;pg_catalog
pg_catalog.default;would_recommend;;text;;;false;appointment_reviews;BASE TABLE;17;public;text;pg_catalog
;submitted_at;;timestamp with time zone;;;false;appointment_reviews;BASE TABLE;18;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;appointment_reviews;BASE TABLE;19;public;timestamptz;pg_catalog
;service_id;;uuid;;;false;appointment_reviews;BASE TABLE;20;public;uuid;pg_catalog
;service_rating;;integer;;;false;appointment_reviews;BASE TABLE;21;public;int4;pg_catalog
;allow_public_display;false;boolean;;;true;appointment_reviews;BASE TABLE;22;public;bool;pg_catalog
pg_catalog.default;reply;;text;;;false;appointment_reviews;BASE TABLE;23;public;text;pg_catalog
;reply_at;;timestamp with time zone;;;false;appointment_reviews;BASE TABLE;24;public;timestamptz;pg_catalog
;reply_by;;uuid;;;false;appointment_reviews;BASE TABLE;25;public;uuid;pg_catalog
;rejected_at;;timestamp with time zone;;;false;appointment_reviews;BASE TABLE;26;public;timestamptz;pg_catalog
;rejected_by;;uuid;;;false;appointment_reviews;BASE TABLE;27;public;uuid;pg_catalog
;reply_reminder_sent_at;;timestamp with time zone;;;false;appointment_reviews;BASE TABLE;28;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;appointment_status_logs;BASE TABLE;1;public;uuid;pg_catalog
;appointment_id;;uuid;;;true;appointment_status_logs;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;old_status;;text;;;false;appointment_status_logs;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;new_status;;text;;;true;appointment_status_logs;BASE TABLE;4;public;text;pg_catalog
pg_catalog.default;changed_by_type;;text;;;true;appointment_status_logs;BASE TABLE;5;public;text;pg_catalog
;changed_by_id;;uuid;;;false;appointment_status_logs;BASE TABLE;6;public;uuid;pg_catalog
pg_catalog.default;source;;text;;;true;appointment_status_logs;BASE TABLE;7;public;text;pg_catalog
;metadata;'{}'::jsonb;jsonb;;;false;appointment_status_logs;BASE TABLE;8;public;jsonb;pg_catalog
;created_at;now();timestamp with time zone;;;true;appointment_status_logs;BASE TABLE;9;public;timestamptz;pg_catalog
pg_catalog.default;error;;text;;;false;appointment_status_logs;BASE TABLE;10;public;text;pg_catalog
;rpc_response;;jsonb;;;false;appointment_status_logs;BASE TABLE;11;public;jsonb;pg_catalog
pg_catalog.default;status_before;;text;;;false;appointment_status_logs;BASE TABLE;12;public;text;pg_catalog
pg_catalog.default;status_after;;text;;;false;appointment_status_logs;BASE TABLE;13;public;text;pg_catalog
;id;gen_random_uuid();uuid;;;true;appointments;BASE TABLE;1;public;uuid;pg_catalog
;user_id;;uuid;;;true;appointments;BASE TABLE;2;public;uuid;pg_catalog
;customer_id;;uuid;;;false;appointments;BASE TABLE;3;public;uuid;pg_catalog
;barber_id;;uuid;;;false;appointments;BASE TABLE;4;public;uuid;pg_catalog
;service_id;;uuid;;;false;appointments;BASE TABLE;5;public;uuid;pg_catalog
;start_time;;timestamp with time zone;;;true;appointments;BASE TABLE;6;public;timestamptz;pg_catalog
;end_time;;timestamp with time zone;;;true;appointments;BASE TABLE;7;public;timestamptz;pg_catalog
pg_catalog.default;status;'scheduled'::text;text;;;false;appointments;BASE TABLE;8;public;text;pg_catalog
;total_price;;numeric(10,2);;;false;appointments;BASE TABLE;9;public;numeric;pg_catalog
pg_catalog.default;notes;;text;;;false;appointments;BASE TABLE;10;public;text;pg_catalog
;created_at;timezone('utc'::text, now());timestamp with time zone;;;true;appointments;BASE TABLE;11;public;timestamptz;pg_catalog
;cancel_token;gen_random_uuid();uuid;;;false;appointments;BASE TABLE;12;public;uuid;pg_catalog
pg_catalog.default;payment_status;'pending'::text;text;;;false;appointments;BASE TABLE;13;public;text;pg_catalog
pg_catalog.default;payment_method;;text;;;false;appointments;BASE TABLE;14;public;text;pg_catalog
;items;'[]'::jsonb;jsonb;;;false;appointments;BASE TABLE;15;public;jsonb;pg_catalog
;refund_requested_at;;timestamp with time zone;;;false;appointments;BASE TABLE;16;public;timestamptz;pg_catalog
pg_catalog.default;refund_type;;text;;;false;appointments;BASE TABLE;17;public;text;pg_catalog
pg_catalog.default;refund_status;'pending'::text;text;;;false;appointments;BASE TABLE;18;public;text;pg_catalog
;original_total;;numeric(10,2);;;false;appointments;BASE TABLE;19;public;numeric;pg_catalog
;credit_used;0;numeric(10,2);;;false;appointments;BASE TABLE;20;public;numeric;pg_catalog
;pix_amount;0;numeric(10,2);;;false;appointments;BASE TABLE;21;public;numeric;pg_catalog
;barbershop_amount;0;numeric(10,2);;;false;appointments;BASE TABLE;22;public;numeric;pg_catalog
;final_amount;0;numeric(10,2);;;false;appointments;BASE TABLE;23;public;numeric;pg_catalog
;cashback_used;0;numeric;;;false;appointments;BASE TABLE;24;public;numeric;pg_catalog
;cashback_earned;0;numeric;;;false;appointments;BASE TABLE;25;public;numeric;pg_catalog
;reminder_sent;false;boolean;;;false;appointments;BASE TABLE;26;public;bool;pg_catalog
;confirmation_sent;false;boolean;;;false;appointments;BASE TABLE;27;public;bool;pg_catalog
;tenant_id;;uuid;;;true;appointments;BASE TABLE;28;public;uuid;pg_catalog
pg_catalog.default;source;'admin'::text;text;;;false;appointments;BASE TABLE;29;public;text;pg_catalog
pg_catalog.default;updated_by_type;;text;;;false;appointments;BASE TABLE;30;public;text;pg_catalog
;updated_by_id;;uuid;;;false;appointments;BASE TABLE;31;public;uuid;pg_catalog
;coupon_id;;uuid;;;false;appointments;BASE TABLE;32;public;uuid;pg_catalog
pg_catalog.default;coupon_code;;text;;;false;appointments;BASE TABLE;33;public;text;pg_catalog
;discount_amount;0;numeric;;;false;appointments;BASE TABLE;34;public;numeric;pg_catalog
;subtotal_amount;;numeric;;;false;appointments;BASE TABLE;35;public;numeric;pg_catalog
;appointment_group_id;;uuid;;;false;appointments;BASE TABLE;36;public;uuid;pg_catalog
pg_catalog.default;cancel_reason;;text;;;false;appointments;BASE TABLE;37;public;text;pg_catalog
;confirmation_sent_at;;timestamp with time zone;;;false;appointments;BASE TABLE;38;public;timestamptz;pg_catalog
;reminder_sent_at;;timestamp with time zone;;;false;appointments;BASE TABLE;39;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;appointments;BASE TABLE;40;public;timestamptz;pg_catalog
;completed_at;;timestamp with time zone;;;false;appointments;BASE TABLE;41;public;timestamptz;pg_catalog
;confirmed_at;;timestamp with time zone;;;false;appointments;BASE TABLE;42;public;timestamptz;pg_catalog
;cancelled_at;;timestamp with time zone;;;false;appointments;BASE TABLE;43;public;timestamptz;pg_catalog
pg_catalog.default;cancel_source;;text;;;false;appointments;BASE TABLE;44;public;text;pg_catalog
pg_catalog.default;cancelled_by;;text;;;false;appointments;BASE TABLE;45;public;text;pg_catalog
pg_catalog.default;confirmed_by;;text;;;false;appointments;BASE TABLE;46;public;text;pg_catalog
pg_catalog.default;completed_by;;text;;;false;appointments;BASE TABLE;47;public;text;pg_catalog
pg_catalog.default;refund_preference;;text;;;false;appointments;BASE TABLE;48;public;text;pg_catalog
;credits_used;0;numeric(10,2);;;false;appointments;BASE TABLE;49;public;numeric;pg_catalog
;amount_paid;0;numeric;;;false;appointments;BASE TABLE;50;public;numeric;pg_catalog
;confirmation_response_sent_at;;timestamp with time zone;;;false;appointments;BASE TABLE;51;public;timestamptz;pg_catalog
;cash_amount;0;numeric(10,2);;;false;appointments;BASE TABLE;52;public;numeric;pg_catalog
;credit_card_amount;0;numeric(10,2);;;false;appointments;BASE TABLE;53;public;numeric;pg_catalog
;debit_card_amount;0;numeric(10,2);;;false;appointments;BASE TABLE;54;public;numeric;pg_catalog
;payment_breakdown;;jsonb;;;false;appointments;BASE TABLE;55;public;jsonb;pg_catalog
;management_token;gen_random_uuid();uuid;;;false;appointments;BASE TABLE;56;public;uuid;pg_catalog
pg_catalog.default;customer_action_source;;text;;;false;appointments;BASE TABLE;57;public;text;pg_catalog
;rescheduled_from_id;;uuid;;;false;appointments;BASE TABLE;58;public;uuid;pg_catalog
pg_catalog.default;payment_id;;text;;;false;appointments;BASE TABLE;59;public;text;pg_catalog
;service_amount;;numeric(10,2);;;false;appointments;BASE TABLE;60;public;numeric;pg_catalog
;group_sequence;;integer;;;false;appointments;BASE TABLE;61;public;int4;pg_catalog
;paid_at;;timestamp with time zone;;;false;appointments;BASE TABLE;62;public;timestamptz;pg_catalog
;subscription_id;;uuid;;;false;appointments;BASE TABLE;63;public;uuid;pg_catalog
;subscription_plan_id;;uuid;;;false;appointments;BASE TABLE;64;public;uuid;pg_catalog
;subscription_covered_amount;0;numeric(10,2);;;true;appointments;BASE TABLE;65;public;numeric;pg_catalog
;extra_amount;0;numeric(10,2);;;true;appointments;BASE TABLE;66;public;numeric;pg_catalog
;tip_amount;0;numeric(10,2);;;true;appointments;BASE TABLE;67;public;numeric;pg_catalog
;products_amount;0;numeric(10,2);;;true;appointments;BASE TABLE;68;public;numeric;pg_catalog
;tip_barber_id;;uuid;;;false;appointments;BASE TABLE;69;public;uuid;pg_catalog
pg_catalog.default;appointment_type;'online'::text;text;;;true;appointments;BASE TABLE;70;public;text;pg_catalog
;walkin_arrived_at;;timestamp with time zone;;;false;appointments;BASE TABLE;71;public;timestamptz;pg_catalog
;walkin_started_at;;timestamp with time zone;;;false;appointments;BASE TABLE;72;public;timestamptz;pg_catalog
;walkin_ticket_number;;integer;;;false;appointments;BASE TABLE;73;public;int4;pg_catalog
pg_catalog.default;review_decision;;text;;;false;appointments;BASE TABLE;74;public;text;pg_catalog
;id;gen_random_uuid();uuid;;;true;audit_logs;BASE TABLE;1;public;uuid;pg_catalog
;admin_id;;uuid;;;true;audit_logs;BASE TABLE;2;public;uuid;pg_catalog
;target_id;;uuid;;;false;audit_logs;BASE TABLE;3;public;uuid;pg_catalog
pg_catalog.default;action;;text;;;true;audit_logs;BASE TABLE;4;public;text;pg_catalog
;details;;jsonb;;;false;audit_logs;BASE TABLE;5;public;jsonb;pg_catalog
pg_catalog.default;ip_address;;text;;;false;audit_logs;BASE TABLE;6;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;true;audit_logs;BASE TABLE;7;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;automation_conversations;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;automation_conversations;BASE TABLE;2;public;uuid;pg_catalog
;customer_id;;uuid;;;false;automation_conversations;BASE TABLE;3;public;uuid;pg_catalog
pg_catalog.default;phone;;text;;;true;automation_conversations;BASE TABLE;4;public;text;pg_catalog
pg_catalog.default;automation_type;;text;;;true;automation_conversations;BASE TABLE;5;public;text;pg_catalog
pg_catalog.default;current_state;'AWAITING_MAIN_ACTION'::text;text;;;true;automation_conversations;BASE TABLE;6;public;text;pg_catalog
;appointment_ids;'{}'::uuid[];uuid[];;;false;automation_conversations;BASE TABLE;7;public;_uuid;pg_catalog
;selected_appointment_id;;uuid;;;false;automation_conversations;BASE TABLE;8;public;uuid;pg_catalog
;remaining_appointment_ids;'{}'::uuid[];uuid[];;;false;automation_conversations;BASE TABLE;9;public;_uuid;pg_catalog
pg_catalog.default;last_option_id;;text;;;false;automation_conversations;BASE TABLE;10;public;text;pg_catalog
pg_catalog.default;status;'active'::text;text;;;true;automation_conversations;BASE TABLE;11;public;text;pg_catalog
;expires_at;(now() + '24:00:00'::interval);timestamp with time zone;;;true;automation_conversations;BASE TABLE;12;public;timestamptz;pg_catalog
;created_at;now();timestamp with time zone;;;true;automation_conversations;BASE TABLE;13;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;automation_conversations;BASE TABLE;14;public;timestamptz;pg_catalog
;automation_id;;uuid;;;false;automation_conversations;BASE TABLE;15;public;uuid;pg_catalog
pg_catalog.default;phone_normalized;;text;;;false;automation_conversations;BASE TABLE;16;public;text;pg_catalog
;appointment_id;;uuid;;;false;automation_conversations;BASE TABLE;17;public;uuid;pg_catalog
pg_catalog.default;workflow_key;;text;;;false;automation_conversations;BASE TABLE;18;public;text;pg_catalog
pg_catalog.default;customer_phone;;text;;;false;automation_conversations;BASE TABLE;19;public;text;pg_catalog
pg_catalog.default;expected_response;;text;;;false;automation_conversations;BASE TABLE;20;public;text;pg_catalog
;confirmed_at;;timestamp with time zone;;;false;automation_conversations;BASE TABLE;21;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;automation_cron_runs;BASE TABLE;1;public;uuid;pg_catalog
;started_at;now();timestamp with time zone;;;true;automation_cron_runs;BASE TABLE;2;public;timestamptz;pg_catalog
;finished_at;;timestamp with time zone;;;false;automation_cron_runs;BASE TABLE;3;public;timestamptz;pg_catalog
pg_catalog.default;status;;text;;;true;automation_cron_runs;BASE TABLE;4;public;text;pg_catalog
;processed_count;0;integer;;;false;automation_cron_runs;BASE TABLE;5;public;int4;pg_catalog
;error_count;0;integer;;;false;automation_cron_runs;BASE TABLE;6;public;int4;pg_catalog
;errors;;jsonb;;;false;automation_cron_runs;BASE TABLE;7;public;jsonb;pg_catalog
;tenant_id;;uuid;;;false;automation_cron_runs;BASE TABLE;8;public;uuid;pg_catalog
;appointment_id;;uuid;;;false;automation_cron_runs;BASE TABLE;9;public;uuid;pg_catalog
;skipped_count;0;integer;;;false;automation_cron_runs;BASE TABLE;10;public;int4;pg_catalog
