command;permissive;policy_name;roles;schema_name;table_name;using_expression;with_check_expression
DELETE;PERMISSIVE;Super admin pode excluir notificações;{public};public;admin_notifications;"(( SELECT profiles.role
   FROM profiles
  WHERE (profiles.id = auth.uid())) = 'super_admin'::text)";
ALL;PERMISSIVE;Tenants can manage their own ai settings;{public};public;ai_settings;(auth.uid() = tenant_id);
INSERT;PERMISSIVE;tenant_insert_checkins;{authenticated};public;appointment_checkins;;(tenant_id = auth.uid())
SELECT;PERMISSIVE;tenant_read_checkins;{authenticated};public;appointment_checkins;(tenant_id = auth.uid());
INSERT;PERMISSIVE;Public can create appointment groups;{anon,authenticated};public;appointment_groups;;(tenant_id IS NOT NULL)
ALL;PERMISSIVE;Tenant can manage their appointment groups;{public};public;appointment_groups;(auth.uid() = tenant_id);(auth.uid() = tenant_id)
SELECT;PERMISSIVE;Tenant can view own appointment groups;{authenticated};public;appointment_groups;"(tenant_id = ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
SELECT;PERMISSIVE;Public can read approved testimonials;{anon,authenticated};public;appointment_reviews;((testimonial_status = 'approved'::text) AND (show_on_frontend = true));
INSERT;PERMISSIVE;Public can submit reviews for real appointments;{anon,authenticated};public;appointment_reviews;;"((appointment_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM appointments a
  WHERE ((a.id = appointment_reviews.appointment_id) AND (a.tenant_id = appointment_reviews.tenant_id)))) AND ((barbershop_rating IS NULL) OR ((barbershop_rating >= 1) AND (barbershop_rating <= 5))) AND ((barber_rating IS NULL) OR ((barber_rating >= 1) AND (barber_rating <= 5))) AND ((service_rating IS NULL) OR ((service_rating >= 1) AND (service_rating <= 5))) AND (COALESCE(show_on_frontend, false) = false) AND (approved_at IS NULL) AND (approved_by IS NULL) AND (reply IS NULL))"
DELETE;PERMISSIVE;Tenant owner can delete reviews;{authenticated};public;appointment_reviews;(tenant_id = auth.uid());
SELECT;PERMISSIVE;Tenant owner can read all reviews;{authenticated};public;appointment_reviews;(tenant_id = auth.uid());
UPDATE;PERMISSIVE;Tenant owner can update reviews;{authenticated};public;appointment_reviews;(tenant_id = auth.uid());(tenant_id = auth.uid())
INSERT;PERMISSIVE;Authenticated users can insert logs;{public};public;appointment_status_logs;;(auth.role() = 'authenticated'::text)
SELECT;PERMISSIVE;Users can view logs of their own appointments;{public};public;appointment_status_logs;"(EXISTS ( SELECT 1
   FROM appointments a
  WHERE ((a.id = appointment_status_logs.appointment_id) AND ((a.tenant_id = auth.uid()) OR (a.customer_id = auth.uid())))))";
SELECT;PERMISSIVE;Users can view their tenant's status logs;{public};public;appointment_status_logs;"(appointment_id IN ( SELECT appointments.id
   FROM appointments
  WHERE ((appointments.tenant_id = auth.uid()) OR (appointments.tenant_id IN ( SELECT profiles.tenant_id
           FROM profiles
          WHERE (profiles.id = auth.uid()))))))";
SELECT;PERMISSIVE;Barbers can view their own appointments;{authenticated};public;appointments;"(EXISTS ( SELECT 1
   FROM barbers
  WHERE ((barbers.id = appointments.barber_id) AND (barbers.user_id = auth.uid()))))";
SELECT;PERMISSIVE;Customers can view own appointments;{authenticated};public;appointments;"(customer_id IN ( SELECT customers.id
   FROM customers
  WHERE (customers.auth_user_id = ( SELECT auth.uid() AS uid))))";
SELECT;PERMISSIVE;Public access for availability;{anon,authenticated};public;appointments;(status = ANY (ARRAY['scheduled'::text, 'confirmed'::text, 'completed'::text, 'cancelled'::text, 'no_show'::text]));
INSERT;PERMISSIVE;Public can create appointments;{public};public;appointments;;true
UPDATE;PERMISSIVE;Staff can update appointments;{authenticated};public;appointments;"((tenant_id = auth.uid()) OR (barber_id IN ( SELECT barbers.id
   FROM barbers
  WHERE (barbers.user_id = auth.uid()))) OR (tenant_id IN ( SELECT reception_permissions.tenant_id
   FROM reception_permissions
  WHERE ((reception_permissions.user_id = auth.uid()) AND (reception_permissions.is_active = true)))) OR is_super_admin_user())";"((tenant_id = auth.uid()) OR (barber_id IN ( SELECT barbers.id
   FROM barbers
  WHERE (barbers.user_id = auth.uid()))) OR (tenant_id IN ( SELECT reception_permissions.tenant_id
   FROM reception_permissions
  WHERE ((reception_permissions.user_id = auth.uid()) AND (reception_permissions.is_active = true)))) OR is_super_admin_user())"
ALL;PERMISSIVE;Super admins can manage all appointments;{public};public;appointments;is_super_admin_user();is_super_admin_user()
SELECT;PERMISSIVE;Tenant can view own appointments;{authenticated};public;appointments;"((tenant_id = auth.uid()) OR (tenant_id IN ( SELECT profiles.tenant_id
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['admin'::text, 'tenant_admin'::text, 'manager'::text]))))) OR (tenant_id IN ( SELECT tenant_memberships.tenant_id
   FROM tenant_memberships
  WHERE (tenant_memberships.user_id = auth.uid()))) OR is_super_admin_user())";
ALL;PERMISSIVE;Users can manage their own appointments;{public};public;appointments;(auth.uid() = user_id);(auth.uid() = user_id)
SELECT;PERMISSIVE;Users can view their own appointments;{authenticated};public;appointments;"((auth.uid() = user_id) OR (customer_id IN ( SELECT customers.id
   FROM customers
  WHERE (customers.user_id = auth.uid()))) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::text)))))";
INSERT;PERMISSIVE;Audit logs insertable by super_admin;{public};public;audit_logs;;is_super_admin_user()
SELECT;PERMISSIVE;Audit logs viewable by super_admin;{public};public;audit_logs;is_super_admin_user();
SELECT;PERMISSIVE;Tenants can view their own conversations;{public};public;automation_conversations;"(tenant_id = ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
SELECT;PERMISSIVE;Super admins can view all cron runs;{public};public;automation_cron_runs;"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::text))))";
SELECT;PERMISSIVE;Tenants can view their own cron runs;{public};public;automation_cron_runs;(auth.uid() = tenant_id);
SELECT;PERMISSIVE;Users can view their own cron logs;{public};public;automation_cron_runs;(auth.uid() = tenant_id);
SELECT;PERMISSIVE;Tenants can view their own dispatches;{public};public;automation_dispatches;"(tenant_id IN ( SELECT barbershops.id
   FROM barbershops
  WHERE (barbershops.owner_id = auth.uid())))";
ALL;PERMISSIVE;Admins manage all interaction events;{public};public;automation_interaction_events;has_role(auth.uid(), 'admin'::app_role);has_role(auth.uid(), 'admin'::app_role)
INSERT;PERMISSIVE;Tenants insert their own interaction events;{public};public;automation_interaction_events;;(auth.uid() = tenant_id)
SELECT;PERMISSIVE;Tenants view their own interaction events;{public};public;automation_interaction_events;(auth.uid() = tenant_id);
ALL;PERMISSIVE;Admins can manage all automation interactions;{public};public;automation_interactions;has_role(auth.uid(), 'admin'::app_role);has_role(auth.uid(), 'admin'::app_role)
ALL;PERMISSIVE;Tenants manage their own automation interactions;{public};public;automation_interactions;(auth.uid() = tenant_id);(auth.uid() = tenant_id)
ALL;PERMISSIVE;Service role manages automation logs;{service_role};public;automation_logs;true;true
SELECT;PERMISSIVE;Tenants can view their own automation logs;{public};public;automation_logs;"(tenant_id = ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
ALL;PERMISSIVE;Users can manage their own automation_queue;{public};public;automation_queue;(auth.uid() = tenant_id);(auth.uid() = tenant_id)
ALL;PERMISSIVE;Users can manage their own settings;{public};public;automation_reconciliation_settings;(auth.uid() = tenant_id);(auth.uid() = tenant_id)
INSERT;PERMISSIVE;Tenants can insert their own send history;{public};public;automation_send_history;;(tenant_id = auth.uid())
SELECT;PERMISSIVE;Tenants can view their own send history;{public};public;automation_send_history;(tenant_id = auth.uid());
ALL;PERMISSIVE;Allow all for service_role;{service_role};public;automation_status;true;true
SELECT;PERMISSIVE;Allow read for authenticated;{authenticated};public;automation_status;true;
ALL;PERMISSIVE;Service role manages automation status;{service_role};public;automation_status;true;true
ALL;PERMISSIVE;Users can manage their own automation_templates;{public};public;automation_templates;(auth.uid() = tenant_id);(auth.uid() = tenant_id)
ALL;PERMISSIVE;Tenants can manage their own v2 dispatches;{public};public;automation_v2_dispatches;"(tenant_id IN ( SELECT barbershops.id
   FROM barbershops
  WHERE (barbershops.owner_id = auth.uid())))";
SELECT;PERMISSIVE;Tenants can view their own v2 logs;{authenticated};public;automation_v2_logs;"(tenant_id IN ( SELECT barbershops.id
   FROM barbershops
  WHERE (barbershops.owner_id = auth.uid())))";
ALL;PERMISSIVE;Tenants can manage their own v2 sessions;{authenticated};public;automation_v2_sessions;"(tenant_id IN ( SELECT barbershops.id
   FROM barbershops
  WHERE (barbershops.owner_id = auth.uid())))";
ALL;PERMISSIVE;Service role manages automation webhook logs;{service_role};public;automation_webhook_logs;true;true
SELECT;PERMISSIVE;Tenants can view their automation webhook logs;{authenticated};public;automation_webhook_logs;(tenant_id = auth.uid());
ALL;PERMISSIVE;Barbers can manage their own automations;{public};public;automations;(auth.uid() = barber_id);
ALL;PERMISSIVE;Tenants can manage their own automations;{public};public;automations;(auth.uid() = tenant_id);
ALL;PERMISSIVE;Users can view their own tenant data;{public};public;automations;"(tenant_id = ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
SELECT;PERMISSIVE;Tenant reads own availability conflict logs;{authenticated};public;availability_conflict_logs;((tenant_id = auth.uid()) OR is_super_admin_user());
SELECT;PERMISSIVE;Public can read commissions through scoped RPC only;{anon};public;barber_commissions;false;
ALL;PERMISSIVE;Tenant admins can manage barber commissions;{authenticated};public;barber_commissions;(tenant_id = auth.uid());(tenant_id = auth.uid())
DELETE;RESTRICTIVE;require_module_commissions_delete;{authenticated};public;barber_commissions;has_module_access(auth.uid(), 'commissions'::text);
INSERT;RESTRICTIVE;require_module_commissions_insert;{authenticated};public;barber_commissions;;has_module_access(auth.uid(), 'commissions'::text)
UPDATE;RESTRICTIVE;require_module_commissions_update;{authenticated};public;barber_commissions;has_module_access(auth.uid(), 'commissions'::text);has_module_access(auth.uid(), 'commissions'::text)
SELECT;PERMISSIVE;Vínculos de serviços são públicos;{public};public;barber_services;true;
ALL;PERMISSIVE;authenticated_manage_barber_services;{authenticated};public;barber_services;((auth.uid() = user_id) OR (auth.uid() = tenant_id));((auth.uid() = user_id) OR (auth.uid() = tenant_id))
SELECT;PERMISSIVE;public_view_barber_services;{public};public;barber_services;true;
SELECT;PERMISSIVE;Barber sees own tips;{authenticated};public;barber_tips;"(EXISTS ( SELECT 1
   FROM barbers b
  WHERE ((b.id = barber_tips.barber_id) AND (b.user_id = auth.uid()))))";
SELECT;PERMISSIVE;Shop owner sees own tips;{authenticated};public;barber_tips;(tenant_id = auth.uid());
UPDATE;PERMISSIVE;Shop owner updates tips;{authenticated};public;barber_tips;(tenant_id = auth.uid());(tenant_id = auth.uid())
ALL;PERMISSIVE;Barbers can manage their own profile;{authenticated};public;barbers;(auth.uid() = user_id);(auth.uid() = user_id)
SELECT;PERMISSIVE;Public select for active barbers;{public};public;barbers;"((active = true) OR (tenant_id = auth.uid()) OR (tenant_id IN ( SELECT tenant_memberships.tenant_id
   FROM tenant_memberships
  WHERE (tenant_memberships.user_id = auth.uid()))) OR has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'super_admin'::app_role))";
ALL;PERMISSIVE;Super admins can manage all barbers;{public};public;barbers;is_super_admin_user();is_super_admin_user()
SELECT;PERMISSIVE;Tenants read their own module logs;{authenticated};public;barbershop_module_logs;((tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role));
INSERT;PERMISSIVE;Users write module logs for own tenant;{authenticated};public;barbershop_module_logs;;((tenant_id = get_my_tenant_id()) OR is_super_admin_user())
SELECT;PERMISSIVE;Public can read tenant modules;{anon};public;barbershop_modules;true;
SELECT;PERMISSIVE;Tenant staff can read their tenant modules;{authenticated};public;barbershop_modules;"(tenant_id IN ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
ALL;PERMISSIVE;Tenants manage their own modules;{authenticated};public;barbershop_modules;((tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role));((tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role))
ALL;PERMISSIVE;Users can manage their own barbershop settings;{authenticated};public;barbershop_settings;(auth.uid() = barber_id);
UPDATE;PERMISSIVE;Owners can update their own barbershop;{public};public;barbershops;(auth.uid() = owner_id);
SELECT;PERMISSIVE;Public read access for barbershops;{public};public;barbershops;true;
SELECT;PERMISSIVE;Tenants can view their own campaign logs;{public};public;campaign_logs;(auth.uid() = tenant_id);
ALL;PERMISSIVE;Tenants can manage their own campaigns;{public};public;campaigns;(auth.uid() = tenant_id);
SELECT;PERMISSIVE;Customers can view own cashback transactions;{authenticated};public;cashback_transactions;"(customer_id IN ( SELECT customers.id
   FROM customers
  WHERE (customers.auth_user_id = ( SELECT auth.uid() AS uid))))";
ALL;PERMISSIVE;Service role can do everything on cashback_transactions;{service_role};public;cashback_transactions;true;true
INSERT;PERMISSIVE;Users can insert cashback transactions for their tenant;{authenticated};public;cashback_transactions;;"((tenant_id = auth.uid()) OR (tenant_id IN ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))))"
SELECT;PERMISSIVE;Users can view their tenant's cashback transactions;{authenticated};public;cashback_transactions;"((tenant_id = auth.uid()) OR (tenant_id IN ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))))";
DELETE;RESTRICTIVE;require_module_cashback_delete;{authenticated};public;cashback_transactions;has_module_access(auth.uid(), 'cashback'::text);
INSERT;RESTRICTIVE;require_module_cashback_insert;{authenticated};public;cashback_transactions;;has_module_access(auth.uid(), 'cashback'::text)
UPDATE;RESTRICTIVE;require_module_cashback_update;{authenticated};public;cashback_transactions;has_module_access(auth.uid(), 'cashback'::text);has_module_access(auth.uid(), 'cashback'::text)
UPDATE;PERMISSIVE;Service role manages client auth updates;{service_role};public;client_auth;true;true
SELECT;PERMISSIVE;Service role reads client auth;{service_role};public;client_auth;true;
DELETE;RESTRICTIVE;require_module_commissions_delete;{authenticated};public;commission_closings;has_module_access(auth.uid(), 'commissions'::text);
INSERT;RESTRICTIVE;require_module_commissions_insert;{authenticated};public;commission_closings;;has_module_access(auth.uid(), 'commissions'::text)
UPDATE;RESTRICTIVE;require_module_commissions_update;{authenticated};public;commission_closings;has_module_access(auth.uid(), 'commissions'::text);has_module_access(auth.uid(), 'commissions'::text)
ALL;PERMISSIVE;tenant manages commission closings;{public};public;commission_closings;(tenant_id = auth.uid());(tenant_id = auth.uid())
DELETE;RESTRICTIVE;require_module_commissions_delete;{authenticated};public;commission_entries;has_module_access(auth.uid(), 'commissions'::text);
INSERT;RESTRICTIVE;require_module_commissions_insert;{authenticated};public;commission_entries;;has_module_access(auth.uid(), 'commissions'::text)
UPDATE;RESTRICTIVE;require_module_commissions_update;{authenticated};public;commission_entries;has_module_access(auth.uid(), 'commissions'::text);has_module_access(auth.uid(), 'commissions'::text)
ALL;PERMISSIVE;tenant manages commission entries;{public};public;commission_entries;(tenant_id = auth.uid());(tenant_id = auth.uid())
ALL;PERMISSIVE;Users can access their own tenant communication_channels;{authenticated};public;communication_channels;"(tenant_id = ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
ALL;PERMISSIVE;Users can access their own tenant communication_messages;{authenticated};public;communication_messages;"(tenant_id = ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
ALL;PERMISSIVE;Users can access their own tenant communication_templates;{authenticated};public;communication_templates;"(tenant_id = ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
INSERT;PERMISSIVE;Anyone can insert cookie consent;{anon,authenticated};public;cookie_consents;;true
SELECT;PERMISSIVE;Users view own cookie consents;{authenticated};public;cookie_consents;((user_id = auth.uid()) OR (tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role));
SELECT;PERMISSIVE;Tenant can view own coupons;{authenticated};public;coupons;(tenant_id = auth.uid());
ALL;PERMISSIVE;Tenants can manage their own coupons;{authenticated};public;coupons;(auth.uid() = tenant_id);
SELECT;PERMISSIVE;Customers can view own credit transactions;{authenticated};public;credit_transactions;"(customer_id IN ( SELECT customers.id
   FROM customers
  WHERE (customers.auth_user_id = ( SELECT auth.uid() AS uid))))";
SELECT;PERMISSIVE;Users can view their tenant's credit transactions;{public};public;credit_transactions;"((tenant_id = auth.uid()) OR (tenant_id IN ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))))";
SELECT;PERMISSIVE;Customers can view own achievements;{authenticated};public;customer_achievements;"(customer_id IN ( SELECT customers.id
   FROM customers
  WHERE (customers.auth_user_id = ( SELECT auth.uid() AS uid))))";
INSERT;PERMISSIVE;Allow INSERT for tenant;{public};public;customer_credits;;(auth.uid() = tenant_id)
SELECT;PERMISSIVE;Allow SELECT for tenant and owner;{public};public;customer_credits;((auth.uid() = tenant_id) OR (auth.uid() = customer_id));
UPDATE;PERMISSIVE;Allow UPDATE for tenant;{public};public;customer_credits;(auth.uid() = tenant_id);(auth.uid() = tenant_id)
ALL;PERMISSIVE;Manage own tenant customer documents;{authenticated};public;customer_documents;(tenant_id = auth.uid());(tenant_id = auth.uid())
ALL;PERMISSIVE;Manage own tenant customer interactions;{authenticated};public;customer_interactions;(tenant_id = auth.uid());(tenant_id = auth.uid())
SELECT;PERMISSIVE;Customers can view own subscriptions;{authenticated};public;customer_subscriptions;"(customer_id IN ( SELECT customers.id
   FROM customers
  WHERE (customers.auth_user_id = ( SELECT auth.uid() AS uid))))";
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;customer_subscriptions;has_module_access(auth.uid(), 'subscriptions'::text);
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;customer_subscriptions;;has_module_access(auth.uid(), 'subscriptions'::text)
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;customer_subscriptions;has_module_access(auth.uid(), 'subscriptions'::text);has_module_access(auth.uid(), 'subscriptions'::text)
ALL;PERMISSIVE;tenant manages own subs;{authenticated};public;customer_subscriptions;((tenant_id = auth.uid()) OR is_super_admin_user());((tenant_id = auth.uid()) OR is_super_admin_user())
ALL;PERMISSIVE;Manage own tenant customer tasks;{authenticated};public;customer_tasks;(tenant_id = auth.uid());(tenant_id = auth.uid())
INSERT;PERMISSIVE;Allow public insert on customers;{anon,authenticated};public;customers;;(tenant_id IS NOT NULL)
SELECT;PERMISSIVE;Allow public select for identification;{public};public;customers;true;
SELECT;PERMISSIVE;Customers can view own profile;{authenticated};public;customers;(auth_user_id = ( SELECT auth.uid() AS uid));
ALL;PERMISSIVE;Super admins can manage all customers;{public};public;customers;is_super_admin_user();is_super_admin_user()
SELECT;PERMISSIVE;Tenant members can view customers;{authenticated};public;customers;"((tenant_id = auth.uid()) OR (tenant_id IN ( SELECT tenant_memberships.tenant_id
   FROM tenant_memberships
  WHERE ((tenant_memberships.user_id = auth.uid()) AND (tenant_memberships.status = 'active'::text)))) OR (tenant_id IN ( SELECT barbershops.id
   FROM barbershops
  WHERE (barbershops.owner_id = auth.uid()))) OR has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'super_admin'::app_role))";
ALL;PERMISSIVE;Users can manage their own customers;{authenticated};public;customers;"((auth.uid() = user_id) OR (EXISTS ( SELECT 1
   FROM barbers
  WHERE ((barbers.id = customers.barber_id) AND (barbers.user_id = auth.uid())))))";
SELECT;PERMISSIVE;Users can view their own customers;{authenticated};public;customers;"((auth.uid() = user_id) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::text)))))";
SELECT;PERMISSIVE;Admins can view all email logs;{authenticated};public;email_logs;(has_role(auth.uid(), 'admin'::app_role) OR has_role(auth.uid(), 'super_admin'::app_role));
SELECT;PERMISSIVE;Tenants can view their own email logs;{authenticated};public;email_logs;"(tenant_id = ( SELECT tenant_memberships.tenant_id
   FROM tenant_memberships
  WHERE (tenant_memberships.user_id = auth.uid())
 LIMIT 1))";
ALL;PERMISSIVE;Tenants can manage their own email settings;{public};public;email_settings;(auth.uid() = tenant_id);
INSERT;PERMISSIVE;Users can insert their own tenant logs;{public};public;financial_adjustment_logs;;"(tenant_id IN ( SELECT barbershops.id
   FROM barbershops
  WHERE (barbershops.owner_id = auth.uid())))"
SELECT;PERMISSIVE;Users can view their own tenant logs;{public};public;financial_adjustment_logs;"(tenant_id IN ( SELECT barbershops.id
   FROM barbershops
  WHERE (barbershops.owner_id = auth.uid())))";
INSERT;PERMISSIVE;Anyone can submit lgpd request;{anon,authenticated};public;lgpd_requests;;true
SELECT;PERMISSIVE;Customers view own requests;{authenticated};public;lgpd_requests;"((user_id = auth.uid()) OR (customer_id IN ( SELECT customers.id
   FROM customers
  WHERE (customers.user_id = auth.uid()))) OR (tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role))";
UPDATE;PERMISSIVE;Tenant and admin update requests;{authenticated};public;lgpd_requests;((tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role));((tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role))
SELECT;PERMISSIVE;Anyone can read achievements;{public};public;loyalty_achievements;true;
ALL;PERMISSIVE;Tenant owners view participations;{authenticated};public;loyalty_campaign_participations;"(tenant_id IN ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";"(tenant_id IN ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))"
DELETE;RESTRICTIVE;require_module_loyalty_delete;{authenticated};public;loyalty_campaign_participations;has_module_access(auth.uid(), 'loyalty'::text);
INSERT;RESTRICTIVE;require_module_loyalty_insert;{authenticated};public;loyalty_campaign_participations;;has_module_access(auth.uid(), 'loyalty'::text)
UPDATE;RESTRICTIVE;require_module_loyalty_update;{authenticated};public;loyalty_campaign_participations;has_module_access(auth.uid(), 'loyalty'::text);has_module_access(auth.uid(), 'loyalty'::text)
SELECT;PERMISSIVE;Templates readable by all;{public};public;loyalty_campaign_templates;true;
DELETE;RESTRICTIVE;require_module_loyalty_delete;{authenticated};public;loyalty_campaign_templates;has_module_access(auth.uid(), 'loyalty'::text);
INSERT;RESTRICTIVE;require_module_loyalty_insert;{authenticated};public;loyalty_campaign_templates;;has_module_access(auth.uid(), 'loyalty'::text)
UPDATE;RESTRICTIVE;require_module_loyalty_update;{authenticated};public;loyalty_campaign_templates;has_module_access(auth.uid(), 'loyalty'::text);has_module_access(auth.uid(), 'loyalty'::text)
ALL;PERMISSIVE;Tenant owners manage campaigns;{authenticated};public;loyalty_campaigns;"(tenant_id IN ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";"(tenant_id IN ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))"
DELETE;RESTRICTIVE;require_module_loyalty_delete;{authenticated};public;loyalty_campaigns;has_module_access(auth.uid(), 'loyalty'::text);
INSERT;RESTRICTIVE;require_module_loyalty_insert;{authenticated};public;loyalty_campaigns;;has_module_access(auth.uid(), 'loyalty'::text)
UPDATE;RESTRICTIVE;require_module_loyalty_update;{authenticated};public;loyalty_campaigns;has_module_access(auth.uid(), 'loyalty'::text);has_module_access(auth.uid(), 'loyalty'::text)
SELECT;PERMISSIVE;Anyone can read levels;{public};public;loyalty_levels;true;
SELECT;PERMISSIVE;public can read loyalty rewards;{anon};public;loyalty_rewards;true;
DELETE;RESTRICTIVE;require_module_loyalty_delete;{authenticated};public;loyalty_rewards;has_module_access(auth.uid(), 'loyalty'::text);
INSERT;RESTRICTIVE;require_module_loyalty_insert;{authenticated};public;loyalty_rewards;;has_module_access(auth.uid(), 'loyalty'::text)
UPDATE;RESTRICTIVE;require_module_loyalty_update;{authenticated};public;loyalty_rewards;has_module_access(auth.uid(), 'loyalty'::text);has_module_access(auth.uid(), 'loyalty'::text)
ALL;PERMISSIVE;tenant manages own loyalty rewards;{authenticated};public;loyalty_rewards;(tenant_id = auth.uid());(tenant_id = auth.uid())
SELECT;PERMISSIVE;public can read loyalty settings;{anon};public;loyalty_settings;true;
DELETE;RESTRICTIVE;require_module_loyalty_delete;{authenticated};public;loyalty_settings;has_module_access(auth.uid(), 'loyalty'::text);
INSERT;RESTRICTIVE;require_module_loyalty_insert;{authenticated};public;loyalty_settings;;has_module_access(auth.uid(), 'loyalty'::text)
UPDATE;RESTRICTIVE;require_module_loyalty_update;{authenticated};public;loyalty_settings;has_module_access(auth.uid(), 'loyalty'::text);has_module_access(auth.uid(), 'loyalty'::text)
ALL;PERMISSIVE;tenant manages own loyalty settings;{authenticated};public;loyalty_settings;(tenant_id = auth.uid());(tenant_id = auth.uid())
